Namn;Märke;Typ;Pris;Förmånsvärde;Url
A6 Sedan 55 TFSI e 367 hk quattro S tronic S line;Audi;Laddhybrid,Prisökning +0.94 %;684 900 kr;8 272 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a6-sedan-55-tfsi-e-367-hk-quattro-s-tronic-s-line
A6 Avant 55 TFSI e 367 hk quattro S tronic S line;Audi;Laddhybrid,Prisökning +0.58 %;699 500 kr;8 459 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a6-avant-55-tfsi-e-367-hk-quattro-s-tronic-s-line
A6 allroad 55 TDI 344 hk quattro tiptronic Proline;Audi;Elhybrid,Prisökning +0.92 %;721 800 kr;10 506 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a6-allroad-55-tdi-344-hk-quattro-tiptronic-proline
A7 Sportback 45 TFSI 265 hk quattro S tronic S line;Audi;Elhybrid,Prisökning +2.14 %;676 700 kr;9 929 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a7-sportback-45-tfsi-265-hk-quattro-s-tronic-s-line
A7 Sportback 45 TDI 245 hk quattro S tronic S line;Audi;Diesel;720 500 kr;10 489 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a7-sportback-45-tdi-245-hk-quattro-s-tronic-s-line
A7 Sportback 55 TFSI 340 hk quattro S tronic S line;Audi;Elhybrid,Prisökning +2.14 %;755 800 kr;10 941 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a7-sportback-55-tfsi-340-hk-quattro-s-tronic-s-line
A7 Sportback 50 TDI 286 hk quattro tiptronic S line;Audi;Elhybrid,Prisökning +2.13 %;762 300 kr;11 024 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a7-sportback-50-tdi-286-hk-quattro-tiptronic-s-line
A7 Sportback 55 TFSI e 367 hk quattro S tronic S line;Audi;Laddhybrid,Prisökning +2.19 %;806 700 kr;9 831 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a7-sportback-55-tfsi-e-367-hk-quattro-s-tronic-s-line
A8 55 TFSI 340 hk quattro tiptronic;Audi;Elhybrid,Prisökning +0.19 %;976 900 kr;13 771 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a8-55-tfsi-340-hk-quattro-tiptronic
A8 L 55 TFSI 340 hk quattro tiptronic;Audi;Elhybrid,Prisökning +0.19 %;1 026 900 kr;14 411 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a8-l-55-tfsi-340-hk-quattro-tiptronic
